experiment,query,sf,n_requested,n_actual,combo,flags,fetch_median,fetch_std,logic_median,logic_std,total_median,total_std,total_cv,n_repeats,sql_baseline_median,speedup,valid
n_scaling,Q11,1.0,2,2,NGF,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,0.04487,0.00245,0.04487,0.00245,0.0545,5,0.04487,1.0,True
n_scaling,Q11,1.0,4,4,(none),"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.02353,0.00071,0.00212,0.00265,0.02588,0.00272,0.105,5,0.0545,2.1058,True
n_scaling,Q11,1.0,4,4,N,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,0.0294,0.00075,0.0294,0.00075,0.0257,5,0.0545,1.854,True
n_scaling,Q11,1.0,4,4,NG,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,0.19793,0.00365,0.19793,0.00365,0.0184,5,0.0545,0.2754,True
n_scaling,Q11,1.0,4,4,NGF,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,0.0545,0.00134,0.0545,0.00134,0.0246,5,0.0545,1.0,True
n_scaling,Q11,1.0,8,8,(none),"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.02474,0.00105,0.0021,0.00266,0.02769,0.00238,0.0858,5,0.06955,2.5114,True
n_scaling,Q11,1.0,8,8,N,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,0.04773,0.0014,0.04773,0.0014,0.0293,5,0.06955,1.4572,True
n_scaling,Q11,1.0,8,8,NG,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,0.38077,0.00542,0.38077,0.00542,0.0142,5,0.06955,0.1826,True
n_scaling,Q11,1.0,8,8,NGF,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,0.06955,0.00065,0.06955,0.00065,0.0093,5,0.06955,1.0,True
n_scaling,Q11,1.0,16,16,(none),"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.02493,0.00249,0.00255,0.00292,0.02828,0.00366,0.1294,5,0.1102,3.8974,True
n_scaling,Q11,1.0,16,16,N,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,0.08612,0.00533,0.08612,0.00533,0.0619,5,0.1102,1.2796,True
n_scaling,Q11,1.0,16,16,NG,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,0.73755,0.00585,0.73755,0.00585,0.0079,5,0.1102,0.1494,True
n_scaling,Q11,1.0,16,16,NGF,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,0.1102,0.00463,0.1102,0.00463,0.042,5,0.1102,1.0,True
n_scaling,Q11,1.0,32,32,(none),"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.02424,0.00084,0.00383,0.0031,0.0281,0.00351,0.1249,5,0.19479,6.9323,True
n_scaling,Q11,1.0,32,32,N,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,0.16318,0.00853,0.16318,0.00853,0.0523,5,0.19479,1.1938,True
n_scaling,Q11,1.0,32,32,NG,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,1.47392,0.01102,1.47392,0.01102,0.0075,5,0.19479,0.1322,True
n_scaling,Q11,1.0,32,32,NGF,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,0.19479,0.0025,0.19479,0.0025,0.0128,5,0.19479,1.0,True
n_scaling,Q11,1.0,64,64,(none),"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0242,0.00042,0.00629,0.00014,0.03057,0.0005,0.0164,5,0.38856,12.7104,True
n_scaling,Q11,1.0,64,64,N,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,0.32425,0.00698,0.32425,0.00698,0.0215,5,0.38856,1.1983,True
n_scaling,Q11,1.0,64,64,NG,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,2.94944,0.02861,2.94944,0.02861,0.0097,5,0.38856,0.1317,True
